09 24 2002	0.02	-0.005	0.005	-0.01	-0.02	-0.03	0.005	0.005	0	-0.0169	-0.0146	-0.0018	-0.0125	-0.9571	1
11 06 2002	-0.2	-0.1188	-0.095	-0.07	-0.085	-0.09	-0.174	-0.138	-0.0562	-0.0707	-0.0707	-0.0332	-0.0753	-0.9259	1
12 10 2002	0	0.005	0.007	0.015	0.025	0.04	0	0	0.0405	0.0172	0.0116	0.0069	0.0049	-0.3381	1
01 29 2003	0.01	0.0219	0.04	0.045	0.06	0.055	0.016	0.01	0.0415	0.0458	0.0468	0.0314	0.0512	0.1653	1
03 18 2003	0.0238	-0.0181	0.01	-0.015	0	-0.015	0	0.02	0	-0.0137	-0.021	-0.0078	-0.0319	-0.5072	1
05 06 2003	0.0372	-0.03	-0.03	-0.08	-0.115	-0.145	-0.01	-0.05	-0.0963	-0.0804	-0.0542	-0.0251	-0.0231	0.1783	1
06 25 2003	0.135	0.086	0.105	0.1	0.145	0.12	0.09	0.08	0.0575	0.0436	0.0257	-0.0079	0.0043	-0.2715	1
08 12 2003	0	0	-0.01	-0.025	-0.05	-0.08	-0.01	-0.01	-0.0489	-0.0443	-0.0274	-0.0214	-0.0063	-0.1049	1
09 16 2003	0.0107	0.005	0.005	-0.005	0.005	-0.01	0	0	-0.0082	0.0034	-0.0059	0.0011	-0.019	-0.185	1
10 28 2003	-0.005	0.002	-0.025	-0.09	-0.115	-0.135	-0.01	-0.02	-0.1081	-0.103	-0.0788	-0.0555	-0.0515	-0.0501	1
12 09 2003	0	-0.005	-0.0025	0.005	0.055	0.085	0	0	0.0649	0.1068	0.0936	0.0782	0.0818	-0.0581	1
01 28 2004	0.005	0.005	0.02	0.11	0.185	0.245	0.02	0.02	0.2155	0.2288	0.1616	0.1168	0.0821	-0.9677	1
03 16 2004	0	0.0057	-0.025	-0.06	-0.08	-0.1	-0.01	-0.01	-0.0814	-0.0912	-0.0714	-0.0479	-0.0499	-0.0729	1
05 04 2004	-0.0115	-0.005	0	0.005	0.01	0.02	0	-0.01	0.0243	0.0211	0.0245	0.0393	0.0305	0.3657	1
06 30 2004	-0.005	-0.0271	-0.035	-0.03	-0.025	-0.015	-0.02	-0.02	-0.0081	0.007	0.0119	0.0197	0.0191	0.2812	1
08 10 2004	0.0074	0.0328	0.035	0.045	0.045	0.04	0	-0.02	0.0408	0.0346	0.0231	0.0104	0.0228	-0.2991	1
09 21 2004	0	0	-0.01	-0.015	-0.015	-0.02	-0.01	-0.02	-0.0083	-0.0171	-0.0249	-0.0282	-0.0362	0.0639	1
11 10 2004	-0.0075	0.0062	-0.01	-0.02	-0.04	-0.05	0.01	0	-0.0248	-0.0275	-0.0295	-0.0277	-0.0333	0.0841	1
12 14 2004	-0.0091	-0.0047	-0.005	-0.015	-0.015	-0.02	-0.03	-0.02	-0.0166	-0.0103	-0.0135	-0.012	-0.0272	0.0583	1
